,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
0.0,1380924,1380005,1379086,1378167,1377248,1376329,1375410,1374491,1373572,1372653
1.0,77153,77063,76973,76883,76793,76703,76613,76523,76433,76343
2.0,168756,169305,169854,170403,170952,171501,172050,172599,173148,173697
3.0,63287,63747,64207,64667,65127,65587,66047,66507,66967,67427
nan,2004749,2004749,2004749,2004749,2004749,2004749,2004749,2004749,2004749,2004749
